agency,ministry
"Ministry of Culture, Community and Youth - National Youth Council","Ministry of Culture, Community and Youth (MCCY)"
"Ministry of Culture, Community and Youth - Ministry Headquarter","Ministry of Culture, Community and Youth (MCCY)"
Ministry of Defence 5,Ministry of Defence (MINDEF)
Ministry of Defence,Ministry of Defence (MINDEF)
Defence Science and Technology Agency,Ministry of Defence (MINDEF)
Temasek Polytechnic,Ministry of Education (MOE)
SkillsFuture Singapore,Ministry of Education (MOE)
Singapore Polytechnic,Ministry of Education (MOE)
Singapore Examinations and Assessment Board,Ministry of Education (MOE)
Singapore Chinese Girls' School,Ministry of Education (MOE)
Science Centre Board,Ministry of Education (MOE)
"School of Science and Technology, Singapore",Ministry of Education (MOE)
Republic Polytechnic,Ministry of Education (MOE)
Raffles Girls' School (Secondary),Ministry of Education (MOE)
Public Utilities Board,Ministry of the Environment and Water Resources (MEWR)
Public Transport Council,Ministry of Education (MOE)
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,Ministry of Education (MOE)
Northlight School,Ministry of Education (MOE)
Ngee Ann Polytechnic,Ministry of Education (MOE)
National University of Singapore,Ministry of Education (MOE)
National Institute of Education,Ministry of Education (MOE)
Nanyang Technological University,Ministry of Education (MOE)
Nanyang Polytechnic,Ministry of Education (MOE)
Ministry of Education - Schools,Ministry of Education (MOE)
Ministry of Education,Ministry of Education (MOE)
Methodist Girls' School (Secondary),Ministry of Education (MOE)
ISEAS - Yusof Ishak Institute,Ministry of Education (MOE)
Institute of Technical Education,Ministry of Education (MOE)
Duke-NUS Medical School,Ministry of Education (MOE)
Council for Private Education,Ministry of Education (MOE)
Assumption Pathway School,Ministry of Education (MOE)
Ministry of Finance-Ministry Headquarter,Ministry of Finance (MOF)
Ministry of Finance-Accountant-General's Department,Ministry of Finance (MOF)
Ministry of Finance - Vital,Ministry of Finance (MOF)
Ministry of Finance - Singapore Customs,Ministry of Finance (MOF)
Inland Revenue Authority of Singapore,Ministry of Finance (MOF)
Accounting And Corporate Regulatory Authority,Ministry of Finance (MOF)
Ministry of Foreign Affairs,Ministry of Foreign Affairs (MFA)
Ministry of Health-Ministry Headquarter,Ministry of Health (MOH)
Health Sciences Authority,Ministry of Health (MOH)
Health Promotion Board,Ministry of Health (MOH)
Singapore Corporation of Rehabilitative Enterprises,Ministry of Home Affairs (MHA)
Ministry of Home Affairs-Ministry Headquarter,Ministry of Home Affairs (MHA)
Casino Regulatory Authority,Ministry of Home Affairs (MHA)
National Library Board,"Ministry of Information, Communications and the Arts (MICA)"
National Heritage Board,"Ministry of Information, Communications and the Arts (MICA)"
National Arts Council,"Ministry of Information, Communications and the Arts (MICA)"
Ministry of Communications and Information,"Ministry of Information, Communications and the Arts (MICA)"
Singapore Land Authority,Ministry of Law (MinLaw)
Ministry of Law-Ministry Headquarter,Ministry of Law (MinLaw)
Intellectual Property Office of Singapore,Ministry of Law (MinLaw)
Workforce Singapore,Ministry of Manpower (MOM)
Singapore Labour Foundation,Ministry of Manpower (MOM)
Ministry of Manpower-Ministry Headquarter,Ministry of Manpower (MOM)
Ministry of Manpower-Labour Relations Department,Ministry of Manpower (MOM)
Ministry of Manpower-Information Systems & Technology Department,Ministry of Manpower (MOM)
Ministry of Manpower - Work Pass Division,Ministry of Manpower (MOM)
Ministry of Manpower - Occupational Safety & Health Division,Ministry of Manpower (MOM)
Ministry of Manpower - Foreign Manpower Management Division,Ministry of Manpower (MOM)
Central Provident Fund Board,Ministry of Manpower (MOM)
Urban Redevelopment Authority,Ministry of National Development (MND)
National Parks Board,Ministry of National Development (MND)
Jurong Town Corporation,Ministry of National Development (MND)
Ministry of National Development-Ministry Headquarter,Ministry of National Development (MND)
Housing and Development Board,Ministry of National Development (MND)
Council for Estate Agencies,Ministry of National Development (MND)
Building and Construction Authority,Ministry of National Development (MND)
Agri-food and Veterinary Authority,Ministry of National Development (MND)
Singapore Sports Council,Ministry of Social and Family Development (MSF)
People's Association,Ministry of Social and Family Development (MSF)
National Council of Social Service,Ministry of Social and Family Development (MSF)
Ministry of Social and Family Development - Rehabilitation and Protection,Ministry of Social and Family Development (MSF)
Ministry of Social and Family Development - Ministry Headquarter,Ministry of Social and Family Development (MSF)
Ministry of Social and Family Development - Family Development Group,Ministry of Social and Family Development (MSF)
Ministry of Social and Family Development - Early Childhood Development Agency,Ministry of Social and Family Development (MSF)
Majlis Ugama Islam Singapura,Ministry of Social and Family Development (MSF)
National Environment Agency,Ministry of the Environment and Water Resources (MEWR)
Ministry of the Environment and Water Resources,Ministry of the Environment and Water Resources (MEWR)
SPRING Singapore,Ministry of Trade and Industry (MTI)
Singapore Tourism Board,Ministry of Trade and Industry (MTI)
Sentosa Development Corporation,Ministry of Trade and Industry (MTI)
Ministry of Trade & Industry-Ministry Headquarter,Ministry of Trade and Industry (MTI)
Ministry of Trade & Industry-Department of Statistics,Ministry of Trade and Industry (MTI)
International Enterprise Singapore,Ministry of Trade and Industry (MTI)
Energy Market Authority of Singapore,Ministry of Trade and Industry (MTI)
Economic Development Board,Ministry of Trade and Industry (MTI)
Competition Commission of Singapore,Ministry of Trade and Industry (MTI)
"Agency for Science, Technology and Research",Ministry of Trade and Industry (MTI)
Ministry of Transport - Ministry Headquarter,Ministry of Transport (MOT)
Maritime and Port Authority of Singapore,Ministry of Transport (MOT)
Land Transport Authority,Ministry of Transport (MOT)
Civil Aviation Authority of Singapore,Ministry of Transport (MOT)
Istana,Organs of State
Auditor-General's Office,Organs of State
Attorney-General's Chambers,Organs of State
Parliament,Organs of State
Judiciary-Supreme Court,Organs of State
Judiciary-State Courts,Organs of State
Prime Minister's Office-Public Service Division,Prime Minister's Office (PMO)
Prime Minister's Office-Ministry Headquarter,Prime Minister's Office (PMO)
Prime Minister's Office-Elections Department,Prime Minister's Office (PMO)
Prime Minister's Office-Corrupt Practices Investigation Bureau,Prime Minister's Office (PMO)
Prime Minister's Office - Strategy Group,Prime Minister's Office (PMO)
Prime Minister's Office - Smart Nation and Digital Government Office,Prime Minister's Office (PMO)
Prime Minister's Office - National Security Co-ordination Secretariat,Prime Minister's Office (PMO)
Prime Minister's Office - National Research Foundation,Prime Minister's Office (PMO)
Monetary Authority of Singapore,Prime Minister's Office (PMO)
Civil Service College,Prime Minister's Office (PMO)
Tote Board,Ministry of Finance (MOF)
Productivity Fund Administration Board,Ministry of Finance (MOF)
Info-communications Media Development Authority,"Ministry of Information, Communications and the Arts (MICA)"
Government Technology Agency (GovTech),Prime Minister's Office (PMO)
Centre for Public Project Management,Ministry of Finance (MOF)
